timestamp,open,high,low,close,volume
2025-05-11 19:00:00+00:00,2504.6,2525.3,2502.28,2508.08,164681464.17
2025-05-11 20:00:00+00:00,2508.08,2512.71,2493.25,2509.97,106968290.12
2025-05-11 21:00:00+00:00,2509.97,2520.1,2497.77,2517.05,104959057.28
2025-05-11 22:00:00+00:00,2517.05,2528.66,2483.61,2503.16,140726620.23
2025-05-11 23:00:00+00:00,2503.16,2515.39,2498.0,2514.51,83969893.32
2025-05-12 00:00:00+00:00,2514.51,2545.49,2510.98,2531.46,206168613.62
2025-05-12 01:00:00+00:00,2531.46,2548.41,2491.17,2505.23,203657722.78
2025-05-12 02:00:00+00:00,2505.23,2535.45,2502.35,2522.89,147142661.47
2025-05-12 03:00:00+00:00,2522.89,2527.19,2509.86,2519.92,99508319.89
2025-05-12 04:00:00+00:00,2519.92,2527.56,2507.84,2518.4,87120638.5
2025-05-12 05:00:00+00:00,2518.4,2521.27,2491.88,2497.73,92401944.17
2025-05-12 06:00:00+00:00,2497.73,2521.58,2487.07,2517.68,94111828.82
2025-05-12 07:00:00+00:00,2517.68,2623.82,2517.68,2554.68,1025520767.88
2025-05-12 08:00:00+00:00,2554.68,2585.61,2531.62,2577.48,303078378.14
2025-05-12 09:00:00+00:00,2577.48,2582.42,2547.95,2550.7,182077424.16
2025-05-12 10:00:00+00:00,2550.7,2563.54,2540.47,2560.47,139300821.69
2025-05-12 11:00:00+00:00,2560.47,2567.25,2523.03,2530.61,169787449.93
2025-05-12 12:00:00+00:00,2530.61,2560.48,2529.35,2549.7,198369746.18
2025-05-12 13:00:00+00:00,2549.7,2576.06,2543.83,2558.18,346533654.3
2025-05-12 14:00:00+00:00,2558.18,2570.12,2490.67,2505.98,579287694.43
2025-05-12 15:00:00+00:00,2505.98,2515.49,2481.22,2487.11,366709128.11
2025-05-12 16:00:00+00:00,2487.11,2508.73,2471.87,2500.65,245304593.6
2025-05-12 17:00:00+00:00,2500.65,2512.49,2465.36,2476.62,173786380.14
2025-05-12 18:00:00+00:00,2476.62,2485.26,2409.06,2435.18,500242244.49
2025-05-12 19:00:00+00:00,2435.18,2467.57,2428.98,2460.53,260675423.42
2025-05-12 20:00:00+00:00,2460.53,2495.72,2452.36,2485.74,165890975.14
2025-05-12 21:00:00+00:00,2485.74,2491.95,2467.34,2479.78,95957714.35
2025-05-12 22:00:00+00:00,2479.78,2497.35,2474.08,2485.84,71234647.18
2025-05-12 23:00:00+00:00,2485.84,2500.17,2485.52,2495.46,91906586.4
2025-05-13 00:00:00+00:00,2495.46,2495.76,2458.78,2463.11,153324893.84
2025-05-13 01:00:00+00:00,2463.11,2476.14,2440.26,2453.0,162513716.32
2025-05-13 02:00:00+00:00,2453.0,2458.5,2415.58,2439.16,233443885.87
2025-05-13 03:00:00+00:00,2439.16,2444.69,2418.43,2424.91,168931421.27
2025-05-13 04:00:00+00:00,2424.91,2458.69,2419.99,2455.57,129320434.56
2025-05-13 05:00:00+00:00,2455.57,2463.26,2439.51,2449.85,78484139.35
2025-05-13 06:00:00+00:00,2449.85,2460.83,2447.31,2453.58,73052315.31
2025-05-13 07:00:00+00:00,2453.58,2480.01,2452.58,2460.82,123187780.68
2025-05-13 08:00:00+00:00,2460.82,2471.3,2451.44,2457.43,95210684.02
2025-05-13 09:00:00+00:00,2457.43,2487.75,2457.0,2484.88,151152554.55
2025-05-13 10:00:00+00:00,2484.88,2487.54,2471.89,2482.39,133015633.07
2025-05-13 11:00:00+00:00,2482.39,2525.55,2478.57,2513.38,238011607.72
2025-05-13 12:00:00+00:00,2513.38,2541.28,2491.78,2524.55,382936710.52
2025-05-13 13:00:00+00:00,2524.55,2561.88,2519.14,2549.42,326033478.43
2025-05-13 14:00:00+00:00,2549.42,2556.86,2526.78,2544.72,311048800.0
2025-05-13 15:00:00+00:00,2544.72,2573.72,2539.52,2565.95,314849135.79
2025-05-13 16:00:00+00:00,2565.95,2600.51,2560.01,2597.18,410958956.2
