time,open,high,low,close,volume
2025-09-12 17:00:00+00:00,238.81,241.3,238.27,240.25,113816580.98
2025-09-12 18:00:00+00:00,240.25,241.49,239.87,240.73,90824968.67
2025-09-12 19:00:00+00:00,240.73,241.26,239.61,241.0,102976616.24
2025-09-12 20:00:00+00:00,241.0,241.24,239.01,239.7,129699583.5
2025-09-12 21:00:00+00:00,239.7,240.3,238.35,240.1,79300573.09
2025-09-12 22:00:00+00:00,240.1,243.98,240.1,241.14,159119475.05
2025-09-12 23:00:00+00:00,241.14,242.69,239.99,242.18,83570903.28
2025-09-13 00:00:00+00:00,242.18,243.76,241.63,243.17,95948648.48
2025-09-13 01:00:00+00:00,243.17,244.14,241.59,241.62,95163245.28
2025-09-13 02:00:00+00:00,241.62,242.86,240.7,242.52,74505660.7
2025-09-13 03:00:00+00:00,242.52,243.99,241.85,243.63,68558852.02
2025-09-13 04:00:00+00:00,243.63,243.69,242.55,243.0,54713982.52
2025-09-13 05:00:00+00:00,243.0,243.35,241.25,241.69,60159070.44
2025-09-13 06:00:00+00:00,241.69,242.81,241.69,242.69,57381122.96
2025-09-13 07:00:00+00:00,242.69,243.18,242.36,242.46,37452335.6
2025-09-13 08:00:00+00:00,242.46,243.5,242.04,243.49,57438122.34
2025-09-13 09:00:00+00:00,243.49,243.72,242.74,243.45,68458637.13
2025-09-13 10:00:00+00:00,243.45,243.45,242.22,242.63,61964532.97
2025-09-13 11:00:00+00:00,242.63,242.64,241.28,241.93,62761764.66
2025-09-13 12:00:00+00:00,241.93,242.55,241.35,242.44,38149241.49
2025-09-13 13:00:00+00:00,242.44,243.08,238.35,240.07,135153331.29
2025-09-13 14:00:00+00:00,240.07,241.07,238.59,240.35,120149888.87
2025-09-13 15:00:00+00:00,240.35,240.85,238.52,239.44,77490025.94
2025-09-13 16:00:00+00:00,239.44,239.69,237.34,237.52,101143503.95
2025-09-13 17:00:00+00:00,237.52,238.4,235.84,237.79,115002394.08
2025-09-13 18:00:00+00:00,237.79,238.87,237.15,238.42,35810042.25
2025-09-13 19:00:00+00:00,238.42,239.32,238.08,238.97,36172412.25
2025-09-13 20:00:00+00:00,238.97,240.39,238.85,240.24,41189617.64
2025-09-13 21:00:00+00:00,240.24,241.44,239.88,240.1,39455779.34
2025-09-13 22:00:00+00:00,240.1,242.04,240.0,241.89,41292971.91
2025-09-13 23:00:00+00:00,241.89,243.16,241.7,242.37,73582876.56
2025-09-14 00:00:00+00:00,242.37,244.06,242.21,243.51,95787608.09
2025-09-14 01:00:00+00:00,243.51,246.56,242.83,245.79,135319792.45
2025-09-14 02:00:00+00:00,245.79,249.2,245.76,248.66,142317609.23
2025-09-14 03:00:00+00:00,248.66,249.61,246.8,246.88,100418223.73
2025-09-14 04:00:00+00:00,246.88,247.96,244.49,246.24,112837775.07
2025-09-14 05:00:00+00:00,246.24,248.07,246.03,247.71,51179974.81
2025-09-14 06:00:00+00:00,247.71,248.36,246.26,247.04,61229211.87
2025-09-14 07:00:00+00:00,247.04,247.23,245.73,246.4,57289716.62
2025-09-14 08:00:00+00:00,246.4,247.1,245.89,246.42,50711770.35
2025-09-14 09:00:00+00:00,246.42,247.76,246.13,247.76,53473773.49
2025-09-14 10:00:00+00:00,247.76,248.09,247.0,247.66,57712336.5
2025-09-14 11:00:00+00:00,247.66,247.91,245.56,246.09,63348817.16
2025-09-14 12:00:00+00:00,246.09,246.75,244.68,245.25,80606030.48
2025-09-14 13:00:00+00:00,245.25,245.89,243.31,243.77,99168256.95
2025-09-14 14:00:00+00:00,243.77,245.09,241.53,243.23,152520493.69
2025-09-14 15:00:00+00:00,243.23,244.26,241.87,243.81,81680629.75
2025-09-14 16:00:00+00:00,243.81,245.83,243.42,245.15,78242841.53
2025-09-14 17:00:00+00:00,245.15,248.44,244.55,247.92,109047353.48
2025-09-14 18:00:00+00:00,247.92,247.95,244.65,244.65,73412988.74
2025-09-14 19:00:00+00:00,244.65,245.27,242.13,242.51,120844626.93
2025-09-14 20:00:00+00:00,242.51,243.46,241.03,242.45,99403226.6
2025-09-14 21:00:00+00:00,242.45,244.72,240.6,244.14,92274766.91
2025-09-14 22:00:00+00:00,244.14,244.24,240.78,242.98,77830875.63
2025-09-14 23:00:00+00:00,242.98,242.98,239.4,239.76,67678256.6
2025-09-15 00:00:00+00:00,239.76,242.16,239.68,240.7,53381303.47
2025-09-15 01:00:00+00:00,240.7,241.77,239.15,241.12,59835846.31
2025-09-15 02:00:00+00:00,241.12,242.76,240.4,242.1,58900950.28
2025-09-15 03:00:00+00:00,242.1,243.4,242.01,242.64,53804239.82
2025-09-15 04:00:00+00:00,242.64,243.51,242.05,242.83,60563136.4
2025-09-15 05:00:00+00:00,242.83,243.97,242.6,243.97,47312385.44
2025-09-15 06:00:00+00:00,243.97,244.0,239.59,240.32,91633010.24
2025-09-15 07:00:00+00:00,240.32,241.28,236.47,237.97,156695642.95
2025-09-15 08:00:00+00:00,237.97,238.1,231.95,232.08,305298896.45
2025-09-15 09:00:00+00:00,232.08,235.59,231.63,235.58,163855849.27
